VNDNBR,VndCode,VNDNAME,VNDTYPE,INV_YEAR, INVPAYAMT , INV_AMOUNT ,DPTNBR,DIV,DEPT,DEPT_CODE
M6800073,6800073,ดีเคเอสเอช (ประเทศไทย) บจก. BAYER CON (Siri Pharma),FOOD-MERCHANDISE,2023,"  43,021.18 ","  19,379.01 ",21830,06,10,0610
M6800080,6800080,โอเร็กซ์ เทรดดิ้ง บจก. (Siri Pharma),FOOD-MERCHANDISE,2023,"  8,639.86 ","  8,074.64 ",21840,06,20,0620
M6800083,6800083,ดีซีเอช ออริกา (ประเทศไทย) บจก. (Siri Pharma),FOOD-MERCHANDISE,2023,"  11,773.72 ",  620.40 ,21672,04,72,0472
M6800108,6800108,สาย 4 พีพีดรักส์ บจก. (Siri Pharma),FOOD-MERCHANDISE,2023,"  222,725.88 ","  110,663.00 ",21830,06,10,0610
M6900018,6900018,โรงน้ำแข็งวังสิงห์คำ อุตสาหกรรม บจก. (BCMM),FOOD-MERCHANDISE,2023,"  47,668.50 ","  45,200.00 ",21790,05,70,0570
M6003488,6003488,บี ที ที (ไทยแลนด์) บจก.,FOOD-MERCHANDISE,2023,"  1,332,809.80 ","  1,332,809.80 ",21720,05,20,0520
M6003501,6003501,เสริมสุข บมจ.,ASSOCIATE - RPT,2023, NULL ,  -   ,33032,09,,09
M6003510,6003510,สิงห์จันทบุรี บจก.,FOOD-MERCHANDISE,2023,"  3,154,128.57 ","  2,947,783.64 ",21650,04,50,0450
M6003516,6003516,ดีเคเอสเอช (ประเทศไทย) บจก. (Mundi Pharma),FOOD-MERCHANDISE,2023,"  873,638.63 ","  64,294.56 ",21850,06,30,0630
M6003520,6003520,โอเร็กซ์ เทรดดิ้ง บจก. (The Eagle),FOOD-MERCHANDISE,2023,"  6,180,378.25 ","  5,741,716.42 ",21840,06,20,0620
M6003527,6003527,เอสโก้สมุนไพรไทย บจก.,FOOD-MERCHANDISE,2023,"  2,267,004.03 ","  2,118,695.40 ",21660,04,60,0460
M6003528,6003528,แมรี่ แอน แดรี่ โปรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  77,619,256.57 ","  81,687,540.62 ",21760,05,60,0560
M6003530,6003530,ดนวัต แดรี่โปรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  1,564,513.01 ","  1,493,265.97 ",21790,05,70,0570
M6003545,6003545,สมุนไพรไทย หงส์ไทย บจก.,FOOD-MERCHANDISE,2023,"  353,877.84 ","  29,124.83 ",21860,06,40,0640
M6300625,6300625,ไดนาสตี้ ฟู๊ด โปรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  1,411,301.75 ","  1,319,811.51 ",21620,04,20,0420
M6300668,6300668,พินนาเคิล แก๊สโตร บจก. (IMPORT),FOOD-MERCHANDISE,2023,"  1,743,490.28 ","  1,629,430.15 ",21640,04,40,0440
M6300673,6300673,ไก๋ไก่ ฟู๊ด บจก. (PLM),FOOD-MERCHANDISE,2023,"  2,591,929.91 ","  2,422,364.40 ",21620,04,20,0420
M6300680,6300680,ชวนพัฒน์ บจก. (Export),FOOD-MERCHANDISE,2023,"  643,688.46 ","  601,578.00 ",21620,04,20,0420
M6300695,6300695,โคเทรดดิ้ง (ไทยแลนด์) บจก. (IMPORT),FOOD-MERCHANDISE,2023,"  2,871,381.15 ","  2,683,533.77 ",21610,04,10,0410
M6300695,6300695,โคเทรดดิ้ง (ไทยแลนด์) บจก. (IMPORT),FOOD-MERCHANDISE,2023,"  1,628,634.30 ","  1,522,088.16 ",21620,04,20,0420
M7000447,7000447,ดนุเดช อุตสาหกรรม บจก. (NF),NONFOOD-MERCHANDISE,2023,"  130,977,747.17 ","  122,409,109.45 ",21310,02,10,0210
M7000454,7000454,ทีซีแอล อิเล็กทรอนิกส์ (ไทยแลนด์) บจก.,NONFOOD-MERCHANDISE,2023,"  (7,810.80)","  (7,299.81)",21510,01,10,0110
M7000456,7000456,ธนบุรี มาสเตอร์ กรุ๊ป หจก.,NONFOOD-MERCHANDISE,2023,"  8,650,426.61 ","  8,082,335.85 ",21220,03,20,0320
M7000462,7000462,ยูไนเต็ด โปรดัคส์ อินเตอร์เนชั่นแนล บจก.,NONFOOD-MERCHANDISE,2023,"  5,099,584.46 ","  4,763,268.27 ",21340,02,40,0240
M7000502,7000502,โมวาด้า บจก.,NONFOOD-MERCHANDISE,2023,"  883,473.36 ","  865,478.48 ",21520,01,20,0120
M7000510,7000510,เอส แอนด์ จี ดีไซน์กรุ๊ป บจก.,NONFOOD-MERCHANDISE,2023,"  3,093,455.60 ","  2,891,080.00 ",21220,03,20,0320
M7000520,7000520,ซี.เค.เทรดดิ้ง (1994) บจก.,NONFOOD-MERCHANDISE,2023,"  292,026.54 ","  272,922.00 ",21320,02,20,0220
M7000547,7000547,นำง่ายฮง บจก.,NONFOOD-MERCHANDISE,2023,"  6,632,967.01 ","  6,209,650.53 ",21310,02,10,0210
M7001050,7001050,สหศิลป์ไฮเทค บจก.,NONFOOD-MERCHANDISE,2023,"  28,978,586.79 ","  27,082,790.10 ",21320,02,20,0220
M7001057,7001057,สุวรรณสมบูรณ์ บจก.,NONFOOD-MERCHANDISE,2023,"  11,514,284.98 ","  10,761,014.00 ",21110,03,80,0380
M7001076,7001076,เจ เอช ซี (ประเทศไทย) บจก.,NONFOOD-MERCHANDISE,2023,"  1,553,428.14 ","  1,451,802.00 ",21320,02,20,0220
M7001087,7001087,โฮม อินเตอร์ ซัพพลาย บจก.,NONFOOD-MERCHANDISE,2023,"  230,071.40 ","  225,459.94 ",21340,02,40,0240
M7001093,7001093,ลั๊กกี้เพนท์ บจก.,NONFOOD-MERCHANDISE,2023,"  5,559,086.56 ","  5,195,408.00 ",21210,03,10,0310
M6003576,6003576,บอร์น ดิสทริบิวเตอร์ หจก.,FOOD-MERCHANDISE,2023,"  555,599.28 ","  529,783.92 ",21790,05,70,0570
M6003592,6003592,เอฟบี ฟู้ด เซอร์วิส (2017) บจก.,FOOD-MERCHANDISE,2023,"  39,833,334.09 ","  37,206,006.02 ",21630,04,30,0430
M6003593,6003593,ดีเคเอสเอช (ประเทศไทย) บจก. (Gery Garuda),FOOD-MERCHANDISE,2023,"  10,328,942.92 ","  9,653,217.61 ",21620,04,20,0420
M6003600,6003600,ไข่สุข บจก.,FOOD-MERCHANDISE,2023,"  656,958.60 ","  613,980.00 ",21760,05,60,0560
M6003652,6003652,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์)  บจก. (แทน 6000581),FOOD-MERCHANDISE,2023,"  7,604,280.37 ","  7,106,804.13 ",21610,04,10,0410
M6003589,6003589,ตะวันพืชผล บจก. (แทน 4003147),FOOD-MERCHANDISE,2023,"  7,779,718.60 ","  7,612,172.62 ",21760,05,60,0560
M6003592,6003592,เอฟบี ฟู้ด เซอร์วิส (2017) บจก.,FOOD-MERCHANDISE,2023,"  6,373,077.43 ","  5,944,834.43 ",21610,04,10,0410
M6003626,6003626,อุดรกิตติ (1992) บจก. (FF),FOOD-MERCHANDISE,2023,"  102,252.60 ","  98,520.86 ",21790,05,70,0570
M6003628,6003628,ไทยยูเนี่ยน กรุ๊ป บมจ. (แทน 6000130),FOOD-MERCHANDISE,2023,"  2,228,581.57 ","  2,082,786.38 ",21620,04,20,0420
M6003642,6003642,ปิยธิดาฟู้ด บจก.,FOOD-MERCHANDISE,2023,"  541,806.43 ","  506,361.60 ",21790,05,70,0570
M6003650,6003650,คชเชอร์ โกลบอล ฟู้ด บจก.,FOOD-MERCHANDISE,2023,"  10,013,806.56 ","  9,357,631.90 ",21620,04,20,0420
M6003668,6003668,เค.อาร์.เอส.สไปร์ซี่ ฟู้ดส์ บจก. (DF),FOOD-MERCHANDISE,2023,"  3,227,516.50 ","  3,016,370.59 ",21630,04,30,0430
M6300702,6300702,ดีเคเอสเอช (ประเทศไทย) บจก. (Prego),FOOD-MERCHANDISE,2023,"  (2,411,755.02)","  (2,411,755.02)",21610,04,10,0410
M6300702,6300702,ดีเคเอสเอช (ประเทศไทย) บจก. (Prego),FOOD-MERCHANDISE,2023,"  15,216,435.74 ","  14,220,968.03 ",21630,04,30,0430
M6300724,6300724,ไทยน้ำทิพย์ คอร์ปอเรชั่น บจก. (Mini),FOOD-MERCHANDISE,2023,"  4,260.76 ","  5,472.90 ",21750,05,50,0550
M6300728,6300728,เจนเนอรัล เบฟเวอร์เรจ บจก. (EXPORT),FOOD-MERCHANDISE,2023,"  558,032.82 ","  521,526.00 ",21640,04,40,0440
M6300731,6300731,ซี.พี.ฟู้ดสโตร์ บจก. (PLM),FOOD-MERCHANDISE,2023,"  127,265,148.03 ","  127,265,148.03 ",21630,04,30,0430
M6300734,6300734,ปฐวิน บมจ. (PLM),FOOD-MERCHANDISE,2023,"  1,319,078.88 ","  1,232,784.00 ",21672,04,72,0472
M6400223,6400223,เนสท์เล่ (ไทย) บจก. (M6400223),FOOD-HORECA/WHOLESALE,2023,"  117,134.52 ","  109,471.40 ",21631,04,31,0431
M6400337,6400337,ไฮไท ซีฟู้ด บจก.,FOOD-HORECA/WHOLESALE,2023,"  1,117,035.42 ","  1,043,958.30 ",21790,05,70,0570
M6400390,6400390,อัศวินซุปเปอร์แมน หจก.,FOOD-HORECA/WHOLESALE,2023,"  40,048.22 ","  7,026.72 ",21671,04,71,0471
M6400438,6400438,น้ำมันพืชปทุม บจก.,FOOD-HORECA/WHOLESALE,2023,"  1,101,409.43 ","  956,701.80 ",21631,04,31,0431
M6400451,6400451,ฉั่วฮะเส็ง ฟู้ดโปรดักส์ บจก.,FOOD-HORECA/WHOLESALE,2023,"  793,315.63 ","  739,031.04 ",21610,04,10,0410
M6400451,6400451,ฉั่วฮะเส็ง ฟู้ดโปรดักส์ บจก.,FOOD-HORECA/WHOLESALE,2023,"  5,972,618.67 ","  5,542,013.37 ",21630,04,30,0430
M6600004,6600004,จีเอสบี อินเตอร์เนชั่นแนล บจก. (BCFS),FOOD-MERCHANDISE,2023,"  4,670.55 ",  -   ,21730,05,30,0530
M6600008,6600008,คิงส์ วิช บจก. (BCFS),FOOD-MERCHANDISE,2023,"  5,125,604.14 ","  5,117,228.99 ",21730,05,30,0530
M6600011,6600011,เซ้าท์แลนด์ อินเตอร์เทรด บจก. (BCFS),FOOD-MERCHANDISE,2023,"  752,562.47 ","  746,279.97 ",21790,05,70,0570
M6600020,6600020,พีทีเอ็น กัวร์เม มาร์เก็ตติ้ง บจก. (BCFS),FOOD-MERCHANDISE,2023,"  6,340.00 ",  -   ,21730,05,30,0530
M6600021,6600021,สหกรณ์เครือข่ายโคเนื้อ จำกัด (เนื้อแช่แข็ง) BCFS,FOOD-MERCHANDISE,2023,"  331,769.98 ","  355,005.53 ",21790,05,70,0570
M6004696,6004696,เดอเบล บจก. (FF),FOOD-MERCHANDISE,2023,"  6,486,287.51 ","  6,061,950.96 ",21720,05,20,0520
M6004700,6004700,ไทยน้ำทิพย์ คอร์ปอเรชั่น บจก. (TLKK),FOOD-MERCHANDISE,2023,"  257,462.70 ","  240,619.37 ",33421,00,0,00000
M6004701,6004701,ไทยน้ำทิพย์ คอร์ปอเรชั่น บจก. (โดนใจ),FOOD-MERCHANDISE,2023,"  2,590,293.10 ","  2,390,170.96 ",21640,04,40,0440
M6004710,6004710,นารา ทรี บจก.,FOOD-MERCHANDISE,2023,"  8,599,827.54 ","  7,932,984.56 ",21660,04,60,0460
M6004721,6004721,อิตาเลเซีย เทรดดิ้ง (ประเทศไทย) บจก. (Coffee),FOOD-MERCHANDISE,2023,"  44,940.00 ","  42,000.00 ",21701,00,0,00000
M6004726,6004726,ไทยแอทลาสโกลบอล ฟูด บจก.,FOOD-MERCHANDISE,2023,"  963,203.12 ","  900,189.84 ",21640,04,40,0440
M6004729,6004729,สหชลผลพืช บจก. (Dry Foods),FOOD-MERCHANDISE,2023,"  3,218,757.72 ","  3,008,184.80 ",21640,04,40,0440
M6004752,6004752,ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น บมจ. (แทนM6004031),FOOD-MERCHANDISE,2023,"  59,522,068.90 ","  55,628,242.52 ",21760,05,60,0560
M6004755,6004755,ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น บมจ. (แทนM6004041),FOOD-MERCHANDISE,2023,"  5,322,123.16 ","  4,973,946.90 ",21790,05,70,0570
M6004765,6004765,คิงสเตลล่า กรุ๊ป บจก. (แทน M6000732),FOOD-MERCHANDISE,2023,"  179,997.82 ","  168,222.24 ",21340,02,40,0240
M6900029,6900029,เคพี ดิสทริบิวเตอร์ ระยอง บจก. (BCMM),FOOD-MERCHANDISE,2023,"  120,134.65 ","  112,275.35 ",21790,05,70,0570
M6900044,6900044,ภัทร ไอศกรีม บจก. (BCMM),FOOD-MERCHANDISE,2023,"  112,678.61 ","  105,307.14 ",21790,05,70,0570
M6900045,6900045,ราชสีมา เอ็น.ดี.พี. บจก. (BCMM),FOOD-MERCHANDISE,2023,"  141,849.55 ","  132,569.65 ",21790,05,70,0570
M6900076,6900076,โรงน้ำแข็งมิตรภาพขอนแก่น 2002 หจก. (BCMM),FOOD-MERCHANDISE,2023,"  101,066.70 ","  94,904.86 ",21790,05,70,0570
M7000010,7000010,ไอ.ซี.ซี.อินเตอร์เนชั่นแนล บมจ. (Underwear Zeg),NONFOOD-MERCHANDISE,2023,"  15,853,199.30 ","  14,816,074.23 ",21220,03,20,0320
